"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.572754167E-2,-5.131238714E-1,1.432905950E0,-3.972428745E-1,1.572996335E0
2.570754167E-2,-6.659497695E-1,1.373955345E0,-9.489914060E-2,1.529786989E0
3.568854167E-2,-7.694688754E-1,1.485108137E0,5.761559790E-1,1.769063097E0
4.566854167E-2,-9.373361510E-1,1.565234434E0,1.249299724E0,2.211177897E0
5.564854167E-2,-1.150680219E0,1.339106086E0,1.894884372E0,2.589953062E0
6.562854167E-2,-1.402805215E0,8.325827710E-1,2.565624912E0,3.040310466E0
7.560854167E-2,-1.554510933E0,4.800256341E-1,3.259901664E0,3.643334696E0
8.558954167E-2,-1.185524070E0,4.489280947E-1,3.814291967E0,4.019431174E0
9.556954167E-2,-6.578388774E-1,5.632024960E-1,3.902680818E0,3.997607610E0
1.055495417E-1,-7.437948478E-1,5.753336412E-1,3.503480880E0,3.627480924E0
1.155295417E-1,-6.556216863E-1,5.893152110E-1,2.892861412E0,3.024198962E0
1.255105417E-1,2.367127582E-1,9.078213798E-1,2.495573514E0,2.666094475E0
1.354905417E-1,4.408341596E-1,1.489023287E0,2.810644298E0,3.211112965E0
1.454705417E-1,1.448543159E-1,1.406363246E0,3.124481319E0,3.429464078E0
1.554505417E-1,1.070723858E-1,1.020389052E0,3.183040599E0,3.344309460E0
1.654305417E-1,2.078400113E-2,4.848050020E-1,3.839301678E0,3.869845635E0
1.754115417E-1,2.901449803E-1,-3.235031263E-1,4.347508918E0,4.369172939E0
1.853915417E-1,1.773883700E-1,-1.008057567E0,4.773886129E0,4.882380103E0
1.953715417E-1,-1.879281370E0,9.446762339E-1,5.142306324E0,5.555846108E0
2.053515417E-1,-2.486658264E0,-1.715369516E-1,4.655466564E0,5.280744566E0
2.153315417E-1,-9.759051163E-1,-1.633045325E0,4.203763892E0,4.614201847E0
2.253125417E-1,6.730690469E-1,-2.445311433E0,3.417927344E0,4.256148174E0
2.352925417E-1,1.120060251E0,-3.219653817E0,2.105123350E0,4.006525925E0
2.452725417E-1,1.388422965E0,-3.491657518E0,2.688005966E-1,3.767179888E0
2.552525417E-1,1.757548187E0,-3.274095195E0,-1.485811996E0,4.002038513E0
2.652335417E-1,1.976687943E0,-2.759137344E0,-2.945939512E0,4.494295686E0
2.752135417E-1,1.927080604E0,-2.035286545E0,-3.744901305E0,4.677640084E0
2.851935417E-1,1.548556128E0,-1.267728686E0,-4.061780632E0,4.528048587E0
2.951735417E-1,1.176856377E0,-7.978489944E-1,-3.760408121E0,4.020226758E0
3.051535417E-1,1.005321727E0,-5.437740257E-1,-3.202472650E0,3.400322491E0
